CODE_OA;NUM_OA;LIAISON;SENS;PR_OA;ABS_DEB;NUM_EXPLOIT;NOM_USAGE;FAMILLE;TYPE_OUVRAGE;MATERIAUX;DATE_MS;NBRE_TABLIERS;NBRE_TRAVEE;GABARIT;LONGUEUR;LARGEUR;SECT_COURANTE;IQOA;NOTE_URGENCE
128;A1_PV_149.1;5;3;115 +0684;115591;PV 1;PV 53;PV;PICF (Cadre Fermé);Béton armé;;1;1;3.5;4.02;38.04;38.04;1;3
129;A1_PS_149.8;5;3;114 +0929;114830;PS 12;PS 12;PS;PIDP PSDP (Dalle Précontrainte);Béton précontraint;;0;4;0;71.8;8;8;2;11
130;A1_PAS_149.9;5;3;114 +0910;114811;Passerelle ONEP / RADEEL;PAS7;PAS;PIBA PSBA (Dalle Béton Armé);Béton armé;;1;4;0;71.8;4.75;4.75;1;16
131;A1_PP_150.2;5;3;114 +0598;114499;PP Aire de service;PP 38 Aire de service;PP;PICF (Cadre Fermé);Béton armé;;1;1;3;3.52;40.78;40.78;1;0
132;A1_PV_150.5;5;3;114 +0282;114183;PV  2;PV 54;PV;PICF (Cadre Fermé);Béton armé;;1;1;3.5;4.02;52.9;52.9;2;9
133;A1_PI_151.3;5;3;113 +0488;113381;OA 3;PI9;PI;PIPO (Portique Ouvert);Béton armé;;1;1;0;24.78;10;10;2;6
198;A2_PS_17.8;2;3;17 +0838;17877;PS 3;PS 3;PS;PIDP PSDP (Dalle Précontrainte);Béton précontraint;;1;2;0;48.4;8;8;2;33
199;A2_PP_18.6;2;3;18 +0578;18602;PP 1;PP 1;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;2.94;33.5;33.5;2;6
200;A2_PV_20.7;2;3;20 +0749;20773;PV 1;PV 1;PV;PICF (Cadre Fermé);Béton armé;;1;1;4.5;5.33;33.51;33.51;2;6
201;A2_PV_21.1;2;3;21 +0958;21983;PV 2;PV 2;PV;PICF (Cadre Fermé);Béton armé;;1;1;4.5;5.22;33.5;33.5;2;3
202;A2_PS_24.4;2;3;24 +0430;24458;PS 4;PS 4;PS;PIDP PSDP (Dalle Précontrainte);Béton précontraint;;1;2;0;46.4;10;10;2;38
203;A2_PS_26.1;2;3;26 +0958;26991;PS 5;PS 5;PS;PIDP PSDP (Dalle Précontrainte);Béton précontraint;;1;2;0;47.78;6;6;2 S;54
204;A2_PP_27.3;2;3;27 +0278;27313;PP 2;PP 2;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;2.94;33.5;33.5;1;0
205;A2_PP_28.9;2;3;28 +0886;28926;PP 3;PP 3;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;2.93;33.49;33.49;2;3
206;A2_PP_29.7;2;3;29 +0663;29701;PP 4;PP 4;PP;PICF (Cadre Fermé);Béton armé;;1;1;2.5;3.39;32.91;32.91;2;3
