CD_PT_SING_INF__CODE;LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;NOM_USAGE;LIBELLE;COMMENTAIRE
PI;3;3;50729;PI 2;CT 1401;
PI;3;3;51675;PI 4;CT 1063;
PI;3;3;52515;PI 5;Echangeur Settat Nord;
GARE;3;3;52515;GARE - SE;Gare de péage sur échangeur de Settat Nord;
ECH;3;3;52515;A7-5;Settat Nord;
PI;3;3;52720;PI 6;Piste;
PV;3;3;53505;PV 4;;
PV;3;3;55429;PV 5;;
PS;3;3;57980;PS 29;Piste;
PS;3;3;58850;PS 30;Piste;
PI;3;3;59928;PI 7;RR 316;
PV;3;3;61040;PV 6;;
PS;3;3;61741;PS 31;RP 3616;
PP;3;3;62540;PP1;Passage piéton N°1;
PS;3;3;63573;PS 32;RP 3624;
ECH;3;3;65000;A7-6;Settat Centre;
GARE;3;3;65000;GARE - SE;Gare de péage sur échangeur de Settat centre;
PI;3;3;65105;PI 8;RR 308;
PI;3;3;65357;PI 9;Echangeur Settat Centre;
PS;3;3;66362;PS 33;Piste;
PS;3;3;67150;PS 34;Piste;
PI;3;3;68180;PI 10;CT 1406;
PV;3;3;69170;PV7;;
PS;3;3;70549;PS 35;Piste;
PS;3;3;72260;PS 36;Piste;
PV;3;3;73776;PV8;;
AIRE;3;3;75000;A7-R2;Aire de Settat;
PS;3;3;76740;PS 37;Piste;
PV;3;3;78349;PV9;;
PV;3;3;79340;PV10;;
PS;3;3;81269;PS 38;Piste;
PV;3;3;82170;PV 11;;
PS;3;3;83720;PS 39;Piste;
PS;3;3;84799;PS 40;CT 1407;
PS;3;3;86880;PS 41;Piste;
PV;3;3;88402;PV12;;
PV;3;3;89360;PV13;;
PI;3;3;90478;PI 11;CT 1408;
PS;3;3;91860;PS 42;Piste;
PV;3;3;93152;PV14;;
PV;3;3;94540;PV15;;
PP;3;3;95410;PP2;Passage piéton N°2;
PS;3;3;160813;PS 55;Piste;
PV;3;3;161853;PV36;;
PS;3;3;163371;PS 56;Piste;
PP;3;3;96220;PP3;Passage piéton N°3;
PV;3;3;96780;PV16;;
PS;3;3;98225;PS 43;Piste;
PV;3;3;99665;PV17;;
VIA;3;3;101000;VIA;Pont sur Oued Zouar;
PI;3;3;101396;PI 12;CT 1406;
PV;3;3;102820;PV18;;
PI;3;3;103902;PI 13;RP 3503;
PI;3;3;105457;PI 14;Voie ferrée;
VIA;3;3;106000;VIA;Pont sur Oued Oum Rbiaa;
PV;3;3;106784;PV19;;
PP;3;3;107160;PP4;Passage piéton N°4;
AIRE;3;3;108000;A7-R3;Aire de Mechraâ Ben Abbou;
PS;3;3;110345;PS 44;RN 9;
PV;3;3;111892;PV20;;
PI;3;3;113912;PI 15;Piste;
PS;3;3;115200;PS 45;Piste;
PV;3;3;116290;PV21;;
