CD_PT_SING_INF__CODE;LIAISON_INF__LIAISON;CHAUSSEE_INF__SENS;ABS_DEB;NOM_USAGE;LIBELLE;COMMENTAIRE
RAU;A6;2;433470;42 32;;
RAU;A46;1;11260;42 73;;
RAU;A46;1;12240;42 75;;
ACCSER;A31;1;3816;;;
RAU;A6;1;382800;41 31;;
ACCSER;A6;1;259900;;;
RAU;A5;2;73798;15 16;;
RAU;A5;2;81718;15 08;;
RAU;A5;2;186074;;;
ACCSER;A77;2;53090;;;
RAU;A5;1;155542;;;
RAU;A6;1;249330;32 17;;
ACCSER;A36;1;81040;;;
ACCSER;A71;2;295967;;;
RAU;A31;2;215630;;;
RAU;A77;1;16205;17 15;;
RAU;A77;1;17912;17 17;;
RAU;A77;2;56580;18014;;
RAU;A77;2;58530;18016;;
ACCSER;A40;1;193800;;;
RAU;A39;2;88175;57 36;;
RAU;A71;1;306277;23 11;;
RAU;A39;2;55098;57 02;;
RAU;A39;1;136631;44 119;;
RAU;A6;2;415290;42 14;;
RAU;A6;2;224755;31 48;;
RAU;A6;2;59592;11 30;;
ACCSER;A6;2;316050;;;
RAU;A31;1;220010;;;
RAU;A40;1;106460;173;;
ACCSER;A31;2;24460;;;
RAU;A6;1;368700;41 15;;
ACCSER;A6;2;87100;;;
RAU;A6;2;88620;11 62;;
RAU;A6;1;324790;34 27;;
RAU;A6;1;319120;34 15;;
RAU;A31;2;182380;;;
ACCSER;A31;2;37790;;;
RAU;A31;2;196850;;;
RAU;A77;1;46560;18003;;
ACCSER;A6;1;369510;;;
RAU;A6;2;126300;12 48;;
RAU;A31;1;32479;1-32+5;;
RAU;A77;2;99210;18062;;
ACCSER;A6;2;386440;;;
RAU;A6;1;207370;31 25;;
RAU;A36;1;44770;51 47;;
RAU;A6;1;226720;31 49;;
RAU;A71;2;308249;23 14;;
RAU;A6;2;120700;12 42;;
RAU;A6;1;441505;42 49;;
RAU;A6;1;271005;32 39;;
RAU;A40;1;103950;186;;
RAU;A5;1;126195;;;
RAU;A6;1;424175;42 21;;
ACCSER;A77;2;3120;;;
RAU;A40;2;122065;220;;
RAU;A40;2;118830;237;;
RAU;A40;2;119020;236;;
RAU;A36;2;74435;52 36;;
RAU;A71;1;266404;22 15;;
RAU;A36;2;137511;53 34;;
RAU;A36;2;77688;52 40;;
RAU;A36;1;185196;54 41;;
RAU;A36;2;164079;54 16;;
RAU;A77;2;92430;18056;;
RAU;A77;1;45105;18001;;
ACCSER;A31;2;187406;;;
RAU;A31;1;56700;1-56+7;;
ACCSER;A71;2;379149;;;
RAU;A5;2;197890;;;
ACCSER;A36;2;112250;;;
RAU;A71;1;260309;22 09;;
RAU;A40;2;106450;273;;
RAU;A6;2;230735;31 54;;
RAU;A36;2;162140;54 14;;
RAU;A6;2;290205;33 04;;
RAU;A36;2;11008;51 12;;
RAU;A40;2;105980;274;;
RAU;A404;2;18171;297;;
RAU;A71;2;216312;21 08;;
RAU;A36;2;96450;52 62;;
RAU;A36;2;200650;33 56;;
RAU;A5A;2;3250;TAO.3R;;
RAU;A40;1;152725;4416;;
RAU;A42;2;44150;43 42;;
RAU;A40;1;131180;110B;;
RAU;A39;1;64908;57 11;;
RAU;A39;1;100025;57 49;;
RAU;A39;2;36108;54 78;;
RAU;A6;2;336128;34 44;;
RAU;A6;2;311352;33 44;;
RAU;A36;2;20318;51 20;;
RAU;A6;2;139302;14 14;;
RAU;A6;2;378050;41 26;;
ACCSER;A31;2;148435;;;
RAU;A5A;2;8280;TAO.8R;;
ACCSER;A5;1;217310;;;
RAU;A5;1;39480;15 55;;
RAU;A5;1;210170;;;
RAU;A40;1;201900;4478;;
RAU;A71;1;234267;21 25;;
RAU;A31;2;162170;;;
RAU;A77;2;5659;17 00;;
RAU;A39;2;66748;57 14;;
RAU;A5A;1;9040;TAO.9A;;
RAU;A71;2;371530;24 22;;
RAU;A40;2;123530;216;;
RAU;A31;2;105070;;;
RAU;A5;2;72028;15 18;;
RAU;A6;2;47127;11 16;;
RAU;A6;2;102700;12 22;;
RAU;A6;1;313275;34 03;;
RAU;A6;2;104650;12 24;;
RAU;A6;2;176230;14 66;;
ACCSER;A40;1;134100;;;
ACCSER;A39;1;22110;;;
RAU;A39;1;26268;54 67;;
RAU;A31;2;123800;;;
RAU;A77;1;65940;18025;;
RAU;A31;1;180380;;;
RAU;A31;2;17150;2-17+1;;
RAU;A31;2;32479;2-31+6;;
RAU;A40;1;206460;4192;;
RAU;A40;1;118830;137;;
RAU;A40;1;119030;136;;
RAU;A6;2;221195;31 44;;
ACCSER;A6;1;304708;;;
RAU;A6;1;140507;14 15;;
ACCSER;A39;2;80608;;;
