CD_SERVICE_INF__SERVICE;LIAISON_INF__LIAISON;CD_AIRE_INF__TYPE;CHAUSSEE_INF__SENS;AIRE_INF__ABS_DEB
MOBILITE REDUITE;A5;AS;2;30030
MOBILITE REDUITE;A5;AS;2;85000
MOBILITE REDUITE;A5;AS;2;140200
MOBILITE REDUITE;A5;AS;2;200070
PANORAMA;A5;AS;2;140200
PARCOURS_DETENTE;A5;AS;2;140200
PIQUE_NIQUE;A5;AS;2;30030
PIQUE_NIQUE;A5;AS;2;85000
PIQUE_NIQUE;A5;AS;2;140200
PIQUE_NIQUE;A5;AS;2;200070
PRESSE;A5;AS;2;30030
PRESSE;A5;AS;2;85000
PRESSE;A5;AS;2;200070
PRODUITS_REGIONAUX;A5;AS;2;30030
PRODUITS_REGIONAUX;A5;AS;2;85000
PRODUITS_REGIONAUX;A5;AS;2;200070
STATION GONFLAGE;A5;AS;2;30030
STATION GONFLAGE;A5;AS;2;85000
SUPERETTE;A5;AS;2;30030
SUPERETTE;A5;AS;2;85000
TABAC;A5;AS;2;30030
TABAC;A5;AS;2;85000
TELEPHONE;A5;AS;2;30030
TELEPHONE;A5;AS;2;85000
TELEPHONE;A5;AS;2;140200
TELEPHONE;A5;AS;2;200070
Vente Liber-t;A5;AS;2;30030
Vente Liber-t;A5;AS;2;85000
JEUX;A5;PB;1;1490
MOBILITE REDUITE;A5;PB;1;1490
PARCOURS_DETENTE;A5;PB;1;1490
PIQUE_NIQUE;A5;PB;1;1490
TELEPHONE;A5;PB;1;1490
Vente Liber-t;A5;PB;1;1490
JEUX;A5;PB;2;1490
MOBILITE REDUITE;A5;PB;2;1490
PIQUE_NIQUE;A5;PB;2;1490
TELEPHONE;A5;PB;2;1490
MOBILITE REDUITE;A5;Sortie;2;208000
TELEPHONE;A5;Sortie;2;208000
JEUX;A5A;AS;1;5985
MOBILITE REDUITE;A5A;AS;1;5985
PARCOURS_DETENTE;A5A;AS;1;5985
PIQUE_NIQUE;A5A;AS;1;5985
TELEPHONE;A5A;AS;1;5985
BRUMISATEUR;A6;AR;1;50250
BRUMISATEUR;A6;AR;1;65500
BRUMISATEUR;A6;AR;1;85600
BRUMISATEUR;A6;AR;1;102700
BRUMISATEUR;A6;AR;1;149600
BRUMISATEUR;A6;AR;1;280300
BRUMISATEUR;A6;AR;1;295600
BRUMISATEUR;A6;AR;1;351900
BRUMISATEUR;A6;AR;1;397000
BRUMISATEUR;A6;AR;1;419500
DAB;A6;AR;1;65500
DAB;A6;AR;1;85600
DAB;A6;AR;1;149600
DAB;A6;AR;1;351900
DAB;A6;AR;1;397000
Information;A6;AR;1;50250
JEUX;A6;AR;1;116700
JEUX;A6;AR;1;133200
JEUX;A6;AR;1;149600
JEUX;A6;AR;1;158500
JEUX;A6;AR;1;173800
JEUX;A6;AR;1;186900
JEUX;A6;AR;1;198100
JEUX;A6;AR;1;222600
JEUX;A6;AR;1;232700
JEUX;A6;AR;1;242100
JEUX;A6;AR;1;269000
JEUX;A6;AR;1;280300
JEUX;A6;AR;1;295600
JEUX;A6;AR;1;322700
JEUX;A6;AR;1;351900
JEUX;A6;AR;1;363700
JEUX;A6;AR;1;397000
JEUX;A6;AR;1;419500
MOBILITE REDUITE;A6;AR;1;50250
MOBILITE REDUITE;A6;AR;1;65500
MOBILITE REDUITE;A6;AR;1;85600
MOBILITE REDUITE;A6;AR;1;90800
MOBILITE REDUITE;A6;AR;1;102700
MOBILITE REDUITE;A6;AR;1;116700
MOBILITE REDUITE;A6;AR;1;133200
MOBILITE REDUITE;A6;AR;1;149600
MOBILITE REDUITE;A6;AR;1;158500
MOBILITE REDUITE;A6;AR;1;173800
MOBILITE REDUITE;A6;AR;1;186900
MOBILITE REDUITE;A6;AR;1;198100
MOBILITE REDUITE;A6;AR;1;222600
MOBILITE REDUITE;A6;AR;1;232700
MOBILITE REDUITE;A6;AR;1;242100
MOBILITE REDUITE;A6;AR;1;269000
MOBILITE REDUITE;A6;AR;1;280300
MOBILITE REDUITE;A6;AR;1;295600
MOBILITE REDUITE;A6;AR;1;322700
PANORAMA;A31;AR;2;17400
PANORAMA;A31;AR;2;121700
PARCOURS_DETENTE;A31;AR;2;87900
PARCOURS_DETENTE;A31;AR;2;121700
PARCOURS_DETENTE;A31;AR;2;200900
PIQUE_NIQUE;A31;AR;2;7800
PIQUE_NIQUE;A31;AR;2;17400
PIQUE_NIQUE;A31;AR;2;45100
PIQUE_NIQUE;A31;AR;2;75800
PIQUE_NIQUE;A31;AR;2;87900
PIQUE_NIQUE;A31;AR;2;121700
PIQUE_NIQUE;A31;AR;2;162100
PIQUE_NIQUE;A31;AR;2;200900
PIQUE_NIQUE;A31;AR;2;211300
PIQUE_NIQUE;A31;AR;2;225500
PRESSE;A31;AR;2;17400
PRESSE;A31;AR;2;45100
PRESSE;A31;AR;2;75800
PRESSE;A31;AR;2;162100
PRODUITS_REGIONAUX;A31;AR;2;7800
PRODUITS_REGIONAUX;A31;AR;2;17400
PRODUITS_REGIONAUX;A31;AR;2;75800
PRODUITS_REGIONAUX;A31;AR;2;121700
PRODUITS_REGIONAUX;A31;AR;2;162100
PRODUITS_REGIONAUX;A31;AR;2;211300
STATION GONFLAGE;A31;AR;2;75800
SUPERETTE;A31;AR;2;75800
SUPERETTE;A31;AR;2;121700
SUPERETTE;A31;AR;2;211300
TABAC;A31;AR;2;75800
TELEPHONE;A31;AR;2;7800
TELEPHONE;A31;AR;2;17400
TELEPHONE;A31;AR;2;45100
TELEPHONE;A31;AR;2;75800
TELEPHONE;A31;AR;2;87900
TELEPHONE;A31;AR;2;121700
TELEPHONE;A31;AR;2;162100
TELEPHONE;A31;AR;2;200900
TELEPHONE;A31;AR;2;211300
TELEPHONE;A31;AR;2;225500
Vente Liber-t;A31;AR;2;225500
BRUMISATEUR;A31;AS;1;102900
BRUMISATEUR;A31;AS;1;182300
BRUMISATEUR;A31;AS;1;232000
DAB;A31;AS;1;102900
DAB;A31;AS;1;232000
JEUX;A31;AS;1;25700
JEUX;A31;AS;1;102900
JEUX;A31;AS;1;137700
JEUX;A31;AS;1;182300
JEUX;A31;AS;1;232000
MOBILITE REDUITE;A31;AS;1;25700
MOBILITE REDUITE;A31;AS;1;102900
MOBILITE REDUITE;A31;AS;1;137700
MOBILITE REDUITE;A31;AS;1;182300
MOBILITE REDUITE;A31;AS;1;232000
PIQUE_NIQUE;A31;AS;1;25700
PIQUE_NIQUE;A31;AS;1;102900
PIQUE_NIQUE;A31;AS;1;137700
PIQUE_NIQUE;A31;AS;1;182300
PIQUE_NIQUE;A31;AS;1;232000
PRODUITS_REGIONAUX;A31;AS;1;182300
